Mathias Goeritz , German , 1915 - 1990 , 37 artworks
Friedel Dzubas , German , 1915 - 1994 , 85 artworks
Carmen Herrera , American , born 1915 , 16 artworks
Bernard Schultze , German , 1915 - 2005 , 22 artworks
Gunther Gerzso , Mexican , 1915 - 2000 , 37 artworks
Terry Frost , British , 1915 - 2003 , 35 artworks
Richard Pousette-Dart , American , 1916 - 1992 , 54 artworks
Fernand Leduc , Canadian , 1916 - 2014 , 10 artworks
Pablo Palazuelo , Spanish , 1916 - 2007 , 24 artworks
Lennart Rodhe , Swedish , 1916 - 2005 , 15 artworks
Gottfried Honegger , Swiss , born 1917 , 23 artworks
Marcelle Loubchansky , French , 1917 - 1988 , 17 artworks
Mario Nigro , Italian , 1917 - 1992 , 10 artworks
Edna Andrade , American , 1917 - 2008 , 17 artworks
Nicolas Carone , American , 1917 - 2010 , 10 artworks
Jean Degottex , French , 1918 - 1988 , 58 artworks
Rune Jansson , Swedish , born 1918 , 19 artworks
Paul Reed , American , born 1919 , 41 artworks
Frederick Hammersley , American , 1919 - 2009 , 15 artworks
Rene Duvillier , French , 1919 - 2002 , 42 artworks
Mira Schendel , Swiss , 1919 - 1988 , 21 artworks
Edward Corbett , American , 1919 - 1971 , 17 artworks
Taro Yamamoto , American , 1919 - 1994 , 15 artworks
Pierre Soulages , French , born 1919 , 39 artworks
Huguette Arthur Bertrand , French , 1920 - 2005 , 17 artworks
Zao Wou-Ki , French , 1920 - 2013 , 38 artworks
George Saru , American , 1920 - 2003 , 31 artworks
Amilcar de Castro , Brazilian , 1920 - 2002 , 14 artworks
Jimmy Ernst , American , 1920 - 1984 , 47 artworks
Jean Messagier , French , 1920 - 1999 , 34 artworks
Gene Davis , American , 1920 - 1985 , 221 artworks
Chu Teh-Chun , French , born 1920 , 25 artworks
Nadir Afonso , Portuguese , born 1920 , 29 artworks
Frank Lobdell , American , 1921 - 2013 , 16 artworks
Lidy Prati , Argentinean , 1921 - 2008 , 10 artworks
Georges Mathieu , French , 1921 - 2012 , 22 artworks
Anne Truitt , American , 1921 - 2004 , 65 artworks
Norman Bluhm , American , 1921 - 1999 , 32 artworks
Bram Bogart , Flemish , 1921 - 2012 , 25 artworks
Ray Parker , American , 1922 - 1990 , 27 artworks
Tomas Maldonado , Argentinean , born 1922 , 15 artworks
William Turnbull , British , 1922 - 2012 , 28 artworks
S. H. Raza , French , born 1922 , 16 artworks
Emilio Scanavino , Italian , 1922 - 1986 , 29 artworks
Pedro Coronel , Mexican , 1922 - 1985 , 10 artworks
Jules Olitski , American , 1922 - 2007 , 0 artworks
Jaroslav Serpan , French , 1922 - 1976 , 22 artworks
Ramirez Villamizar , Colombian , 1922 - 2004 , 17 artworks
Sadamasa Motonaga , Japanese , 1922 - 2011 , 28 artworks
Simon Hantai , French , 1922 - 2008 , 29 artworks
Jacques Busse , French , 1922 - 2004 , 9 artworks
Theodoros Stamos , American , 1922 - 1997 , 101 artwork
Ivan Serpa , Brazilian , 1923 - 1973 , 50 artworks
Gunter Fruhtrunk , German , 1923 - 1982 , 22 artworks
Jerzy Nowosielski , Polish , 1923 - 2011 , 12 artworks
Genevieve Asse , French , born 1923 , 26 artworks
Ellsworth Kelly , American , born 1923 , 145 artworks
Sam Francis , American , 1923 - 1994 , 370 artworks
Paul Jenkins , American , 1923 - 2012 , 86 artworks
Luigi Guardigli , Italian , 1923 - 2008 , 23 artworks
Mario Cesariny , Portuguese , 1923 - 2006 , 33 artworks
Fernando Lanhas , Portuguese , 1923 - 2012 , 14 artworks
Jean-Paul Riopelle , Canadian , 1923 - 2002 , 22 artworks
Antonio Sanfilippo , Italian , 1923 - 1980 , 21 artworks
Antoni Tapies , Spanish , 1923 - 2012 , 56 artworks
Olga Albizu , American , 1924 - 2005 , 15 artworks
Kazuo Shiraga , Japanese , 1924 - 2008 , 48 artworks
Luis Sacilotto , Brazilian , 1924 - 2003 , 17 artworks
Akira Kanayama , Japanese , 1924 - 2006 , 8 artworks
Paul Brach , American , 1924 - 2007 , 16 artworks
Herbert Zangs , German , 1924 - 2003 , 14 artworks
Behjat Sadr , Iranian , 1924 - 2009 , 15 artworks
Manabu Mabe , Japanese , 1924 - 1997 , 23 artworks
Martin Barre , French , 1924 - 1993 , 21 artworks
Francois Arnal , French , 1924 - 2012 , 36 artworks
Oskar Holweck , German , 1924 - 2007 , 22 artworks
Richards Ruben , American , 1925 - 1998 , 18 artworks
Joan Mitchell , French , 1925 - 1992 , 62 artworks
Marcel Barbeau , Canadian , born 1925 , 16 artworks
Etel Adnan , Lebanese , born 1925 , 10 artworks
Edward Krasinski , Polish , 1925 - 2004 , 15 artworks
Almir Mavignier , German , born 1925 , 14 artworks
Modest Cuixart , Spanish , 1925 - 2007 , 50 artworks
John Altoon , Armenian , 1925 - 1969 , 8 artworks
Karl Benjamin , American , 1925 - 2012 , 15 artworks
Stanley Boxer , American , 1926 - 2000 , 22 artworks
Jean Miotte , French , born 1926 , 19 artworks
Francois Morellet , French , born 1926 , 33 artworks
Hannelore Baron , American , 1926 - 1987 , 17 artworks
Moshe Kupferman , Jewish , 1926 - 2003 , 38 artworks
Stefan Sevastre , Romanian , born 1926 , 25 artworks
Adnan Coker , Turkish , born 1927 , 28 artworks
Tony DeLap , American , born 1927 , 19 artworks
Warren Rohrer , American , 1927 - 1995 , 36 artworks
James Bishop , French , born 1927 , 10 artworks
Manuel Rivera , Spanish , 1927 - 1995 , 22 artworks
Ludwig Wilding , German , 1927 - 2010 , 16 artworks
Piero Dorazio , Italian , 1927 - 2005 , 25 artworks
Pierre Alechinsky , French , born 1927 , 220 artworks
Thomas Downing , American , 1928 - 1985 , 48 artworks
Al Held , American , 1928 - 2005 , 30 artworks
Yun Hyong–keun , South Korean , 1928 - 2007 , 15 artworks
Omar Rayo , Colombian , 1928 - 2010 , 19 artworks
Jean-Paul Jerome , Canadian , 1928 - 2004 , 20 artworks
Theo Gerber , Swiss , 1928 - 1997 , 24 artworks
Cy Twombly , American , 1928 - 2011 , 125 artworks
